provider,model,reasoning,agent_id,agent_name,age,traits,infection_level,rep,response,reasoning_text,input_tokens,output_tokens,reasoning_tokens,cost,format_valid
openai,gpt-3.5-turbo,off,5,Tony,54,introverted|antagonistic|unconscientious|neurotic|closed to experience,0,1,yes,You are introverted and prefer to stay at home.,244,17,0,0.0001475,True
openai,gpt-3.5-turbo,off,3,Hector,57,extroverted|agreeable|unconscientious|emotionally stable|closed to experience,0,3,yes,The Catasat virus is spreading across the country.,245,17,0,0.000148,True
openai,gpt-3.5-turbo,off,2,Rosa,34,introverted|antagonistic|unconscientious|neurotic|closed to experience,0,4,yes,"You are introverted and closed to experience, so you prefer to stay at home.",244,23,0,0.0001565,True
openai,gpt-3.5-turbo,off,1,Luis,54,introverted|agreeable|conscientious|emotionally stable|closed to experience,0,1,yes,The Catasat virus is spreading across the country.,243,17,0,0.000147,True
openai,gpt-3.5-turbo,off,6,Barbara,55,introverted|agreeable|conscientious|emotionally stable|open to experience,0,4,yes,The Catasat virus is spreading across the country.,243,17,0,0.000147,True
openai,gpt-3.5-turbo,off,10,Leslie,28,introverted|agreeable|conscientious|neurotic|closed to experience,0,2,yes,You are introverted and prefer to stay at home.,243,17,0,0.000147,True
openai,gpt-3.5-turbo,off,2,Rosa,34,introverted|antagonistic|unconscientious|neurotic|closed to experience,0,2,yes,"You are introverted and closed to experience, so staying at home may not be a problem for you.",244,27,0,0.0001625,True
openai,gpt-3.5-turbo,off,20,Lisa,28,introverted|agreeable|conscientious|neurotic|closed to experience,0,4,yes,You are introverted and prefer to stay at home.,243,17,0,0.000147,True
openai,gpt-3.5-turbo,off,8,Adam,64,introverted|agreeable|unconscientious|emotionally stable|closed to experience,0,0,yes,The Catasat virus is spreading across the country.,244,17,0,0.0001475,True
openai,gpt-3.5-turbo,off,7,Sandra,20,introverted|antagonistic|conscientious|neurotic|open to experience,0,2,yes,The Catasat virus is spreading across the country.,243,17,0,0.000147,True
openai,gpt-3.5-turbo,off,6,Barbara,55,introverted|agreeable|conscientious|emotionally stable|open to experience,0,3,yes,The Catasat virus is spreading across the country.,243,17,0,0.000147,True
openai,gpt-3.5-turbo,off,6,Barbara,55,introverted|agreeable|conscientious|emotionally stable|open to experience,0,0,yes,The Catasat virus is spreading across the country.,243,17,0,0.000147,True
openai,gpt-3.5-turbo,off,20,Lisa,28,introverted|agreeable|conscientious|neurotic|closed to experience,0,3,yes,You are introverted and prefer to stay at home.,243,17,0,0.000147,True
openai,gpt-3.5-turbo,off,21,Jesus,31,introverted|antagonistic|conscientious|emotionally stable|open to experience,0,1,yes,The Catasat virus is spreading across the country.,243,17,0,0.000147,True
openai,gpt-3.5-turbo,off,2,Rosa,34,introverted|antagonistic|unconscientious|neurotic|closed to experience,0,1,yes,"You are introverted and closed to experience, so you prefer to stay at home.",244,23,0,0.0001565,True
openai,gpt-3.5-turbo,off,0,Ashley,51,extroverted|antagonistic|unconscientious|neurotic|open to experience,0,2,no,The Catasat virus is spreading across the country.,245,17,0,0.000148,True
openai,gpt-3.5-turbo,off,5,Tony,54,introverted|antagonistic|unconscientious|neurotic|closed to experience,0,4,yes,You are introverted and prefer to stay at home.,244,17,0,0.0001475,True
openai,gpt-3.5-turbo,off,3,Hector,57,extroverted|agreeable|unconscientious|emotionally stable|closed to experience,0,0,yes,The Catasat virus is spreading across the country.,245,17,0,0.000148,True
openai,gpt-3.5-turbo,off,20,Lisa,28,introverted|agreeable|conscientious|neurotic|closed to experience,0,0,yes,You are introverted and prefer to stay at home.,243,17,0,0.000147,True
openai,gpt-3.5-turbo,off,9,Sam,39,introverted|agreeable|conscientious|emotionally stable|open to experience,0,0,yes,The Catasat virus is spreading across the country.,243,17,0,0.000147,True
openai,gpt-3.5-turbo,off,20,Lisa,28,introverted|agreeable|conscientious|neurotic|closed to experience,0,2,yes,You are introverted and prefer to stay at home.,243,17,0,0.000147,True
openai,gpt-3.5-turbo,off,21,Jesus,31,introverted|antagonistic|conscientious|emotionally stable|open to experience,0,3,yes,The Catasat virus is spreading across the country and the deadliness is unknown.,243,23,0,0.000156,True
openai,gpt-3.5-turbo,off,5,Tony,54,introverted|antagonistic|unconscientious|neurotic|closed to experience,0,0,yes,You are introverted and prefer to stay at home.,244,17,0,0.0001475,True
openai,gpt-3.5-turbo,off,0,Ashley,51,extroverted|antagonistic|unconscientious|neurotic|open to experience,0,3,no,The Catasat virus is spreading across the country.,245,17,0,0.000148,True
openai,gpt-3.5-turbo,off,22,Jaime,49,extroverted|antagonistic|conscientious|emotionally stable|closed to experience,0,1,no,The Catasat virus is spreading across the country.,244,17,0,0.0001475,True
openai,gpt-3.5-turbo,off,23,Jorge,25,introverted|agreeable|conscientious|neurotic|closed to experience,0,2,yes,The Catasat virus is spreading across the country.,243,17,0,0.000147,True
openai,gpt-3.5-turbo,off,6,Barbara,55,introverted|agreeable|conscientious|emotionally stable|open to experience,0,2,yes,The Catasat virus is spreading across the country.,243,17,0,0.000147,True
openai,gpt-3.5-turbo,off,21,Jesus,31,introverted|antagonistic|conscientious|emotionally stable|open to experience,0,2,yes,The Catasat virus is spreading across the country.,243,17,0,0.000147,True
openai,gpt-3.5-turbo,off,20,Lisa,28,introverted|agreeable|conscientious|neurotic|closed to experience,0,1,yes,You are introverted and prefer to stay at home.,243,17,0,0.000147,True
openai,gpt-3.5-turbo,off,22,Jaime,49,extroverted|antagonistic|conscientious|emotionally stable|closed to experience,0,3,no,The Catasat virus is spreading across the country.,244,17,0,0.0001475,True
openai,gpt-3.5-turbo,off,22,Jaime,49,extroverted|antagonistic|conscientious|emotionally stable|closed to experience,0,0,no,The Catasat virus is spreading across the country.,244,17,0,0.0001475,True
openai,gpt-3.5-turbo,off,23,Jorge,25,introverted|agreeable|conscientious|neurotic|closed to experience,0,1,yes,You are introverted and prefer to stay at home.,243,17,0,0.000147,True
openai,gpt-3.5-turbo,off,22,Jaime,49,extroverted|antagonistic|conscientious|emotionally stable|closed to experience,0,4,no,The Catasat virus is spreading across the country.,244,17,0,0.0001475,True
openai,gpt-3.5-turbo,off,7,Sandra,20,introverted|antagonistic|conscientious|neurotic|open to experience,0,0,yes,The Catasat virus is spreading across the country.,243,17,0,0.000147,True
openai,gpt-3.5-turbo,off,24,Stephen,39,extroverted|agreeable|conscientious|neurotic|closed to experience,0,0,no,The Catasat virus is spreading across the country.,244,17,0,0.0001475,True
openai,gpt-3.5-turbo,off,10,Leslie,28,introverted|agreeable|conscientious|neurotic|closed to experience,0,3,yes,You are introverted and prefer to stay at home.,243,17,0,0.000147,True
openai,gpt-3.5-turbo,off,7,Sandra,20,introverted|antagonistic|conscientious|neurotic|open to experience,0,1,yes,The Catasat virus is spreading across the country.,243,17,0,0.000147,True
openai,gpt-3.5-turbo,off,23,Jorge,25,introverted|agreeable|conscientious|neurotic|closed to experience,0,4,yes,The Catasat virus is spreading across the country.,243,17,0,0.000147,True
openai,gpt-3.5-turbo,off,21,Jesus,31,introverted|antagonistic|conscientious|emotionally stable|open to experience,0,4,no,The Catasat virus is spreading across the country.,243,17,0,0.000147,True
openai,gpt-3.5-turbo,off,24,Stephen,39,extroverted|agreeable|conscientious|neurotic|closed to experience,0,1,no,The Catasat virus is spreading across the country.,244,17,0,0.0001475,True
openai,gpt-3.5-turbo,off,24,Stephen,39,extroverted|agreeable|conscientious|neurotic|closed to experience,0,2,no,The Catasat virus is spreading across the country.,244,17,0,0.0001475,True
openai,gpt-3.5-turbo,off,26,Alejandro,31,extroverted|antagonistic|conscientious|neurotic|open to experience,0,2,no,The Catasat virus is spreading across the country.,244,17,0,0.0001475,True
openai,gpt-3.5-turbo,off,7,Sandra,20,introverted|antagonistic|conscientious|neurotic|open to experience,0,3,yes,The Catasat virus is spreading across the country.,243,17,0,0.000147,True
openai,gpt-3.5-turbo,off,24,Stephen,39,extroverted|agreeable|conscientious|neurotic|closed to experience,0,3,no,The Catasat virus is spreading across the country.,244,17,0,0.0001475,True
openai,gpt-3.5-turbo,off,24,Stephen,39,extroverted|agreeable|conscientious|neurotic|closed to experience,0,4,no,The Catasat virus is spreading across the country.,244,17,0,0.0001475,True
openai,gpt-3.5-turbo,off,25,Brittany,25,introverted|antagonistic|conscientious|emotionally stable|closed to experience,0,2,yes,You are introverted and prefer to stay at home.,243,17,0,0.000147,True
openai,gpt-3.5-turbo,off,8,Adam,64,introverted|agreeable|unconscientious|emotionally stable|closed to experience,0,2,yes,The Catasat virus is spreading across the country.,244,17,0,0.0001475,True
openai,gpt-3.5-turbo,off,25,Brittany,25,introverted|antagonistic|conscientious|emotionally stable|closed to experience,0,0,yes,The Catasat virus is spreading across the country.,243,17,0,0.000147,True
openai,gpt-3.5-turbo,off,10,Leslie,28,introverted|agreeable|conscientious|neurotic|closed to experience,0,4,yes,You are introverted and prefer to stay at home.,243,17,0,0.000147,True
openai,gpt-3.5-turbo,off,10,Leslie,28,introverted|agreeable|conscientious|neurotic|closed to experience,0,0,yes,You are introverted and prefer to stay at home.,243,17,0,0.000147,True
openai,gpt-3.5-turbo,off,23,Jorge,25,introverted|agreeable|conscientious|neurotic|closed to experience,0,3,yes,The Catasat virus is spreading across the country.,243,17,0,0.000147,True
openai,gpt-3.5-turbo,off,26,Alejandro,31,extroverted|antagonistic|conscientious|neurotic|open to experience,0,1,no,The Catasat virus is spreading across the country.,244,17,0,0.0001475,True
openai,gpt-3.5-turbo,off,25,Brittany,25,introverted|antagonistic|conscientious|emotionally stable|closed to experience,0,1,yes,You are introverted and prefer to stay at home.,243,17,0,0.000147,True
openai,gpt-3.5-turbo,off,22,Jaime,49,extroverted|antagonistic|conscientious|emotionally stable|closed to experience,0,2,no,The Catasat virus is spreading across the country.,244,17,0,0.0001475,True
openai,gpt-3.5-turbo,off,21,Jesus,31,introverted|antagonistic|conscientious|emotionally stable|open to experience,0,0,yes,The Catasat virus is spreading across the country.,243,17,0,0.000147,True
openai,gpt-3.5-turbo,off,26,Alejandro,31,extroverted|antagonistic|conscientious|neurotic|open to experience,0,0,no,The Catasat virus is spreading across the country.,244,17,0,0.0001475,True
openai,gpt-3.5-turbo,off,5,Tony,54,introverted|antagonistic|unconscientious|neurotic|closed to experience,0,3,yes,You are introverted and prefer to stay at home.,244,17,0,0.0001475,True
openai,gpt-3.5-turbo,off,26,Alejandro,31,extroverted|antagonistic|conscientious|neurotic|open to experience,0,4,no,The Catasat virus is spreading across the country.,244,17,0,0.0001475,True
openai,gpt-3.5-turbo,off,9,Sam,39,introverted|agreeable|conscientious|emotionally stable|open to experience,0,2,yes,The Catasat virus is spreading across the country.,243,17,0,0.000147,True
openai,gpt-3.5-turbo,off,12,Isabel,56,introverted|antagonistic|conscientious|neurotic|closed to experience,0,1,yes,You are introverted and prefer to stay at home.,243,17,0,0.000147,True
openai,gpt-3.5-turbo,off,9,Sam,39,introverted|agreeable|conscientious|emotionally stable|open to experience,0,1,yes,The Catasat virus is spreading across the country.,243,17,0,0.000147,True
openai,gpt-3.5-turbo,off,11,Pamela,57,extroverted|antagonistic|unconscientious|emotionally stable|open to experience,0,2,no,The Catasat virus is spreading across the country.,245,17,0,0.000148,True
openai,gpt-3.5-turbo,off,28,Victoria,51,extroverted|agreeable|conscientious|emotionally stable|open to experience,0,3,no,The Catasat virus is spreading across the country.,244,17,0,0.0001475,True
openai,gpt-3.5-turbo,off,12,Isabel,56,introverted|antagonistic|conscientious|neurotic|closed to experience,0,4,yes,You are introverted and prefer to stay at home.,243,17,0,0.000147,True
openai,gpt-3.5-turbo,off,26,Alejandro,31,extroverted|antagonistic|conscientious|neurotic|open to experience,0,3,no,The Catasat virus is spreading across the country.,244,17,0,0.0001475,True
openai,gpt-3.5-turbo,off,29,Danny,55,introverted|agreeable|conscientious|emotionally stable|closed to experience,0,0,yes,The Catasat virus is spreading across the country.,243,17,0,0.000147,True
openai,gpt-3.5-turbo,off,27,Martin,22,extroverted|antagonistic|unconscientious|emotionally stable|open to experience,0,1,no,The Catasat virus is spreading across the country.,245,17,0,0.000148,True
openai,gpt-3.5-turbo,off,13,Miguel,50,introverted|antagonistic|conscientious|emotionally stable|open to experience,0,3,yes,The Catasat virus is spreading across the country.,243,17,0,0.000147,True
openai,gpt-3.5-turbo,off,19,Michael,38,introverted|antagonistic|conscientious|emotionally stable|open to experience,0,2,yes,The Catasat virus is spreading across the country.,243,17,0,0.000147,True
openai,gpt-3.5-turbo,off,27,Martin,22,extroverted|antagonistic|unconscientious|emotionally stable|open to experience,0,0,no,The Catasat virus is spreading across the country.,245,17,0,0.000148,True
openai,gpt-3.5-turbo,off,19,Michael,38,introverted|antagonistic|conscientious|emotionally stable|open to experience,0,3,yes,The Catasat virus is spreading across the country.,243,17,0,0.000147,True
openai,gpt-3.5-turbo,off,27,Martin,22,extroverted|antagonistic|unconscientious|emotionally stable|open to experience,0,3,no,The Catasat virus is spreading across the country.,245,17,0,0.000148,True
openai,gpt-3.5-turbo,off,12,Isabel,56,introverted|antagonistic|conscientious|neurotic|closed to experience,0,0,yes,You are introverted and prefer to stay at home.,243,17,0,0.000147,True
openai,gpt-3.5-turbo,off,11,Pamela,57,extroverted|antagonistic|unconscientious|emotionally stable|open to experience,0,4,no,The Catasat virus is spreading across the country.,245,17,0,0.000148,True
openai,gpt-3.5-turbo,off,28,Victoria,51,extroverted|agreeable|conscientious|emotionally stable|open to experience,0,0,no,The Catasat virus is spreading across the country.,244,17,0,0.0001475,True
openai,gpt-3.5-turbo,off,8,Adam,64,introverted|agreeable|unconscientious|emotionally stable|closed to experience,0,3,yes,The Catasat virus is spreading across the country.,244,17,0,0.0001475,True
openai,gpt-3.5-turbo,off,10,Leslie,28,introverted|agreeable|conscientious|neurotic|closed to experience,0,1,yes,You are introverted and prefer to stay at home.,243,17,0,0.000147,True
openai,gpt-3.5-turbo,off,27,Martin,22,extroverted|antagonistic|unconscientious|emotionally stable|open to experience,0,4,no,The Catasat virus is spreading across the country.,245,17,0,0.000148,True
openai,gpt-3.5-turbo,off,13,Miguel,50,introverted|antagonistic|conscientious|emotionally stable|open to experience,0,2,yes,The Catasat virus is spreading across the country.,243,17,0,0.000147,True
openai,gpt-3.5-turbo,off,12,Isabel,56,introverted|antagonistic|conscientious|neurotic|closed to experience,0,2,yes,You are introverted and prefer to stay at home.,243,17,0,0.000147,True
openai,gpt-3.5-turbo,off,18,Mark,43,extroverted|antagonistic|unconscientious|emotionally stable|closed to experience,0,1,no,The Catasat virus is spreading across the country.,245,17,0,0.000148,True
openai,gpt-3.5-turbo,off,29,Danny,55,introverted|agreeable|conscientious|emotionally stable|closed to experience,0,4,yes,You are introverted and prefer to stay at home.,243,17,0,0.000147,True
openai,gpt-3.5-turbo,off,9,Sam,39,introverted|agreeable|conscientious|emotionally stable|open to experience,0,3,yes,The Catasat virus is spreading across the country.,243,17,0,0.000147,True
openai,gpt-3.5-turbo,off,30,Laura,22,extroverted|antagonistic|unconscientious|neurotic|closed to experience,0,3,no,You are extroverted and enjoy social interactions.,245,16,0,0.0001465,True
openai,gpt-3.5-turbo,off,30,Laura,22,extroverted|antagonistic|unconscientious|neurotic|closed to experience,0,0,no,You are extroverted and enjoy social interactions.,245,16,0,0.0001465,True
openai,gpt-3.5-turbo,off,28,Victoria,51,extroverted|agreeable|conscientious|emotionally stable|open to experience,0,1,yes,The Catasat virus is spreading across the country.,244,17,0,0.0001475,True
openai,gpt-3.5-turbo,off,30,Laura,22,extroverted|antagonistic|unconscientious|neurotic|closed to experience,0,1,no,You are extroverted and enjoy social interactions.,245,16,0,0.0001465,True
openai,gpt-3.5-turbo,off,11,Pamela,57,extroverted|antagonistic|unconscientious|emotionally stable|open to experience,0,3,no,The Catasat virus is spreading across the country.,245,17,0,0.000148,True
openai,gpt-3.5-turbo,off,8,Adam,64,introverted|agreeable|unconscientious|emotionally stable|closed to experience,0,1,yes,The Catasat virus is spreading across the country.,244,17,0,0.0001475,True
openai,gpt-3.5-turbo,off,31,Brandon,27,extroverted|agreeable|unconscientious|neurotic|open to experience,0,0,yes,The virus is spreading rapidly and the deadliness is unknown.,245,18,0,0.0001495,True
openai,gpt-3.5-turbo,off,31,Brandon,27,extroverted|agreeable|unconscientious|neurotic|open to experience,0,2,no,The Catasat virus is spreading across the country.,245,17,0,0.000148,True
openai,gpt-3.5-turbo,off,29,Danny,55,introverted|agreeable|conscientious|emotionally stable|closed to experience,0,1,yes,The Catasat virus is spreading across the country.,243,17,0,0.000147,True
openai,gpt-3.5-turbo,off,16,John,23,introverted|agreeable|unconscientious|emotionally stable|open to experience,0,1,yes,The Catasat virus is spreading across the country.,244,17,0,0.0001475,True
openai,gpt-3.5-turbo,off,30,Laura,22,extroverted|antagonistic|unconscientious|neurotic|closed to experience,0,2,no,You are extroverted and enjoy social interactions.,245,16,0,0.0001465,True
openai,gpt-3.5-turbo,off,19,Michael,38,introverted|antagonistic|conscientious|emotionally stable|open to experience,0,1,yes,The Catasat virus is spreading across the country.,243,17,0,0.000147,True
openai,gpt-3.5-turbo,off,18,Mark,43,extroverted|antagonistic|unconscientious|emotionally stable|closed to experience,0,2,no,The Catasat virus is spreading across the country.,245,17,0,0.000148,True
openai,gpt-3.5-turbo,off,29,Danny,55,introverted|agreeable|conscientious|emotionally stable|closed to experience,0,3,yes,You are introverted and prefer to stay at home.,243,17,0,0.000147,True
openai,gpt-3.5-turbo,off,25,Brittany,25,introverted|antagonistic|conscientious|emotionally stable|closed to experience,0,3,yes,You are introverted and prefer to stay at home.,243,17,0,0.000147,True
openai,gpt-3.5-turbo,off,17,Greg,44,extroverted|agreeable|unconscientious|emotionally stable|open to experience,0,1,no,The Catasat virus is spreading across the country.,245,17,0,0.000148,True
openai,gpt-3.5-turbo,off,6,Barbara,55,introverted|agreeable|conscientious|emotionally stable|open to experience,0,1,yes,The Catasat virus is spreading across the country.,243,17,0,0.000147,True
openai,gpt-3.5-turbo,off,14,Sharon,55,introverted|agreeable|unconscientious|neurotic|closed to experience,0,4,yes,You are introverted and prefer to stay at home.,244,17,0,0.0001475,True
openai,gpt-3.5-turbo,off,16,John,23,introverted|agreeable|unconscientious|emotionally stable|open to experience,0,2,yes,The Catasat virus is spreading across the country.,244,17,0,0.0001475,True
openai,gpt-3.5-turbo,off,31,Brandon,27,extroverted|agreeable|unconscientious|neurotic|open to experience,0,4,no,The virus is spreading across the country.,245,14,0,0.0001435,True
openai,gpt-3.5-turbo,off,11,Pamela,57,extroverted|antagonistic|unconscientious|emotionally stable|open to experience,0,0,no,The Catasat virus is spreading across the country.,245,17,0,0.000148,True
openai,gpt-3.5-turbo,off,13,Miguel,50,introverted|antagonistic|conscientious|emotionally stable|open to experience,0,4,yes,The Catasat virus is spreading across the country.,243,17,0,0.000147,True
openai,gpt-3.5-turbo,off,5,Tony,54,introverted|antagonistic|unconscientious|neurotic|closed to experience,0,2,yes,You are introverted and prefer to stay at home.,244,17,0,0.0001475,True
openai,gpt-3.5-turbo,off,17,Greg,44,extroverted|agreeable|unconscientious|emotionally stable|open to experience,0,2,no,The Catasat virus is spreading across the country.,245,17,0,0.000148,True
openai,gpt-3.5-turbo,off,15,Diana,55,extroverted|antagonistic|unconscientious|neurotic|closed to experience,0,2,no,You are aware of the Catasat virus spreading.,245,17,0,0.000148,True
openai,gpt-3.5-turbo,off,15,Diana,55,extroverted|antagonistic|unconscientious|neurotic|closed to experience,0,1,no,You are aware of the Catasat virus spreading.,245,17,0,0.000148,True
openai,gpt-3.5-turbo,off,32,Paul,58,introverted|agreeable|unconscientious|emotionally stable|closed to experience,0,1,yes,The Catasat virus is spreading across the country.,244,17,0,0.0001475,True
openai,gpt-3.5-turbo,off,30,Laura,22,extroverted|antagonistic|unconscientious|neurotic|closed to experience,0,4,no,You are extroverted and enjoy social interactions.,245,16,0,0.0001465,True
openai,gpt-3.5-turbo,off,14,Sharon,55,introverted|agreeable|unconscientious|neurotic|closed to experience,0,3,yes,You are introverted and prefer to stay at home.,244,17,0,0.0001475,True
openai,gpt-3.5-turbo,off,14,Sharon,55,introverted|agreeable|unconscientious|neurotic|closed to experience,0,0,yes,You are introverted and prefer to stay at home.,244,17,0,0.0001475,True
openai,gpt-3.5-turbo,off,17,Greg,44,extroverted|agreeable|unconscientious|emotionally stable|open to experience,0,3,no,The Catasat virus is spreading across the country.,245,17,0,0.000148,True
openai,gpt-3.5-turbo,off,17,Greg,44,extroverted|agreeable|unconscientious|emotionally stable|open to experience,0,0,no,The Catasat virus is spreading across the country.,245,17,0,0.000148,True
openai,gpt-3.5-turbo,off,32,Paul,58,introverted|agreeable|unconscientious|emotionally stable|closed to experience,0,0,yes,The Catasat virus is spreading across the country.,244,17,0,0.0001475,True
openai,gpt-3.5-turbo,off,19,Michael,38,introverted|antagonistic|conscientious|emotionally stable|open to experience,0,0,yes,The Catasat virus is spreading across the country.,243,17,0,0.000147,True
openai,gpt-3.5-turbo,off,27,Martin,22,extroverted|antagonistic|unconscientious|emotionally stable|open to experience,0,2,no,The Catasat virus is spreading across the country.,245,17,0,0.000148,True
openai,gpt-3.5-turbo,off,12,Isabel,56,introverted|antagonistic|conscientious|neurotic|closed to experience,0,3,yes,"You are introverted and closed to experience, so you may feel more comfortable staying at home.",243,25,0,0.000159,True
openai,gpt-3.5-turbo,off,31,Brandon,27,extroverted|agreeable|unconscientious|neurotic|open to experience,0,3,no,The Catasat virus is spreading across the country.,245,17,0,0.000148,True
openai,gpt-3.5-turbo,off,32,Paul,58,introverted|agreeable|unconscientious|emotionally stable|closed to experience,0,2,yes,The Catasat virus is spreading across the country.,244,17,0,0.0001475,True
openai,gpt-3.5-turbo,off,33,Jordan,37,extroverted|agreeable|unconscientious|neurotic|closed to experience,0,0,yes,The Catasat virus is spreading across the country.,245,17,0,0.000148,True
openai,gpt-3.5-turbo,off,33,Jordan,37,extroverted|agreeable|unconscientious|neurotic|closed to experience,0,2,yes,The Catasat virus is spreading across the country.,245,17,0,0.000148,True
openai,gpt-3.5-turbo,off,14,Sharon,55,introverted|agreeable|unconscientious|neurotic|closed to experience,0,1,yes,You are introverted and prefer to stay at home.,244,17,0,0.0001475,True
openai,gpt-3.5-turbo,off,15,Diana,55,extroverted|antagonistic|unconscientious|neurotic|closed to experience,0,4,no,You are aware of the Catasat virus spreading.,245,17,0,0.000148,True
openai,gpt-3.5-turbo,off,34,Jacob,21,extroverted|antagonistic|conscientious|emotionally stable|open to experience,0,0,no,The Catasat virus is spreading across the country.,244,17,0,0.0001475,True
openai,gpt-3.5-turbo,off,25,Brittany,25,introverted|antagonistic|conscientious|emotionally stable|closed to experience,0,4,yes,You are introverted and prefer to stay at home.,243,17,0,0.000147,True
openai,gpt-3.5-turbo,off,18,Mark,43,extroverted|antagonistic|unconscientious|emotionally stable|closed to experience,0,3,no,The Catasat virus is spreading across the country.,245,17,0,0.000148,True
openai,gpt-3.5-turbo,off,35,Carlos,40,introverted|antagonistic|conscientious|emotionally stable|open to experience,0,0,yes,The Catasat virus is spreading across the country.,243,17,0,0.000147,True
openai,gpt-3.5-turbo,off,33,Jordan,37,extroverted|agreeable|unconscientious|neurotic|closed to experience,0,1,no,The Catasat virus is spreading across the country.,245,17,0,0.000148,True
openai,gpt-3.5-turbo,off,32,Paul,58,introverted|agreeable|unconscientious|emotionally stable|closed to experience,0,4,yes,The Catasat virus is spreading across the country.,244,17,0,0.0001475,True
openai,gpt-3.5-turbo,off,34,Jacob,21,extroverted|antagonistic|conscientious|emotionally stable|open to experience,0,1,no,The Catasat virus is spreading across the country.,244,17,0,0.0001475,True
openai,gpt-3.5-turbo,off,28,Victoria,51,extroverted|agreeable|conscientious|emotionally stable|open to experience,0,2,no,The Catasat virus is spreading across the country.,244,17,0,0.0001475,True
openai,gpt-3.5-turbo,off,35,Carlos,40,introverted|antagonistic|conscientious|emotionally stable|open to experience,0,4,yes,The Catasat virus is spreading across the country.,243,17,0,0.000147,True
openai,gpt-3.5-turbo,off,34,Jacob,21,extroverted|antagonistic|conscientious|emotionally stable|open to experience,0,2,no,The Catasat virus is spreading across the country.,244,17,0,0.0001475,True
openai,gpt-3.5-turbo,off,32,Paul,58,introverted|agreeable|unconscientious|emotionally stable|closed to experience,0,3,yes,The Catasat virus is spreading across the country.,244,17,0,0.0001475,True
openai,gpt-3.5-turbo,off,13,Miguel,50,introverted|antagonistic|conscientious|emotionally stable|open to experience,0,1,yes,The Catasat virus is spreading across the country.,243,17,0,0.000147,True
